iter	RMSE
480	1.574808229
481	1.57472788
482	1.574688706
483	1.573866718
484	1.573612626
485	1.572310975
486	1.571593275
487	1.571442587
488	1.571198807
489	1.570611879
490	1.570268989
491	1.569316823
492	1.569279694
493	1.568248037
494	1.568141859
495	1.567669969
496	1.567396448
497	1.567358671
498	1.5668012
499	1.566571472
500	1.565868233
501	1.565647191
502	1.565433937
503	1.564934496
504	1.563090292
505	1.562092614
506	1.561991073
507	1.56195764
508	1.560718201
509	1.559632084
510	1.559430547
511	1.558303397
512	1.55813471
513	1.557572987
514	1.557485609
515	1.555808085
516	1.555630502
517	1.55528483
518	1.55474195
519	1.553975619
520	1.552941193
521	1.552890066
522	1.552364766
523	1.551921058
524	1.551170574
525	1.550760185
526	1.550489501
527	1.550392098
528	1.550306582
529	1.548757946
530	1.548236288
531	1.548036248
532	1.547751495
533	1.547683339
534	1.547516584
535	1.547308452
536	1.546663171
537	1.545924294
538	1.545412275
539	1.545018887
540	1.544640685
541	1.544145811
542	1.543805813
543	1.542668333
544	1.541504664
545	1.541178421
546	1.541099202
547	1.539965582
548	1.539934332
549	1.539740948
550	1.538667025
551	1.538353134
552	1.537003817
553	1.536052198
554	1.535688921
555	1.535401225
556	1.535335769
557	1.534989725
558	1.534897234
559	1.534870689
560	1.534166089
561	1.532721295
562	1.532146942
563	1.532122079
564	1.531381551
565	1.531223061
566	1.530948327
567	1.530600021
568	1.530420767
569	1.530346667
570	1.529258342
571	1.528139014
572	1.527272345
573	1.526329326
574	1.525715581
575	1.525523513
576	1.524564298
577	1.524436113
578	1.524250056
579	1.523108217
580	1.523084819
581	1.522758324
582	1.521570834
583	1.521534068
584	1.521262417
585	1.521082626
586	1.520051462
587	1.519548298
588	1.519471167
589	1.519350702
590	1.519109986
591	1.519063348
592	1.518993325
593	1.518062671
594	1.516408309
595	1.516196365
596	1.516092913
597	1.515229082
598	1.514985584
599	1.514214239
600	1.51410431
601	1.513063929
602	1.513001621
603	1.512752002
604	1.512581664
605	1.512450301
606	1.512399023
607	1.512293897
608	1.512156621
609	1.512107263
610	1.511258661
611	1.51094747
612	1.510355524
613	1.510231714
614	1.510101944
615	1.510054704
616	1.50907813
617	1.508671139
618	1.508312352
619	1.508082129
620	1.507844354
621	1.506395159
622	1.505703638
623	1.504936717
624	1.504527908
625	1.504440887
626	1.503887758
627	1.503788449
628	1.503742804
629	1.503350998
630	1.502855459
631	1.502816513
632	1.501902172
633	1.500964068
634	1.500613588
635	1.499297933
636	1.499087465
637	1.498707594
638	1.497865035
639	1.497745053
640	1.49769738
641	1.497271719
642	1.496960359
643	1.495572213
644	1.495181616
645	1.495134734
646	1.495088675
647	1.494927966
648	1.494835087
649	1.494753538
650	1.494597484
651	1.493957477
652	1.493303353
653	1.491736834
654	1.491375272
655	1.490541672
656	1.489639242
657	1.488998411
658	1.488907956
659	1.488739782
660	1.488591457
661	1.488547533
662	1.488504397
663	1.488445071
664	1.48736843
665	1.487204455
666	1.486238735
667	1.485642504
668	1.484792052
669	1.484751373
670	1.48381822
671	1.483084441
672	1.481731332
673	1.481625105
674	1.481483118
675	1.480078639
676	1.480037116
677	1.478939415
678	1.478715405
679	1.477685826
680	1.477273793
681	1.476558584
682	1.476114701
683	1.476056426
684	1.474977132
685	1.474564523
686	1.474082972
687	1.473927455
688	1.473853215
689	1.473796802
690	1.473121964
691	1.472645252
692	1.471845815
