iter	Passed	Remaining
202	32945	129345
203	33109	129193
204	33270	129025
205	33432	128862
206	33592	128689
207	33768	128581
208	33951	128497
209	34146	128456
210	34334	128389
211	34529	128345
212	34731	128326
213	34899	128183
214	35073	128057
215	35264	127996
216	35441	127884
217	35628	127805
218	35790	127635
219	35969	127528
220	36150	127427
221	36353	127399
222	36532	127289
223	36715	127191
224	36880	127031
225	37050	126889
226	37246	126836
227	37449	126802
228	37628	126688
229	37798	126542
230	37965	126388
231	38142	126265
232	38309	126110
233	38478	125958
234	38643	125795
235	38811	125644
236	38985	125509
237	39126	125271
238	39292	125111
239	39468	124982
240	39631	124815
241	39753	124516
242	39934	124404
243	40109	124274
244	40276	124116
245	40449	123978
246	40612	123810
247	40797	123707
248	40999	123656
249	41182	123548
250	41360	123421
251	41535	123289
252	41691	123096
253	41893	123040
254	42084	122951
255	42259	122815
256	42415	122624
257	42596	122506
258	42760	122339
259	42923	122166
260	43085	121993
261	43248	121821
262	43438	121727
263	43604	121563
264	43772	121407
265	43957	121297
266	44133	121159
267	44313	121034
268	44479	120872
269	44656	120736
270	44831	120597
271	44999	120439
272	45164	120274
273	45336	120124
274	45516	119998
275	45681	119831
276	45846	119664
277	46029	119544
278	46192	119371
279	46357	119205
280	46517	119025
281	46696	118893
282	46850	118699
283	47015	118531
284	47178	118360
285	47353	118217
286	47510	118032
287	47703	117932
288	47871	117773
289	48045	117628
290	48210	117460
291	48398	117350
292	48574	117209
293	48741	117045
294	48902	116869
295	49079	116728
296	49242	116558
297	49410	116397
298	49515	116088
299	49687	115936
300	49864	115797
301	50037	115650
302	50229	115543
303	50398	115386
304	50561	115214
305	50739	115076
306	50927	114961
307	51099	114808
308	51293	114704
309	51459	114537
310	51632	114387
311	51824	114280
312	51995	114123
313	52165	113967
314	52361	113864
315	52555	113758
316	52746	113645
317	52909	113472
318	53089	113334
319	53272	113204
320	53466	113095
321	53666	112999
322	53838	112844
323	54008	112683
324	54176	112520
325	54349	112367
326	54532	112232
327	54699	112066
328	54858	111884
329	55038	111745
330	55201	111570
331	55395	111459
332	55563	111292
333	55726	111118
334	55890	110947
335	56059	110785
336	56231	110627
337	56410	110484
338	56604	110371
339	56794	110248
340	56977	110111
341	57153	109962
342	57324	109803
343	57507	109665
344	57670	109490
345	57848	109343
346	58019	109183
347	58212	109063
348	58382	108902
349	58552	108740
350	58727	108587
351	58904	108438
352	59070	108268
353	59262	108145
354	59433	107984
355	59615	107844
356	59774	107661
357	59960	107526
358	60132	107368
359	60283	107170
360	60456	107013
361	60642	106877
362	60841	106766
363	61005	106592
364	61164	106409
365	61334	106246
366	61505	106084
367	61671	105913
368	61846	105759
369	62020	105603
370	62188	105436
371	62359	105273
372	62504	105068
373	62677	104909
374	62838	104731
375	63020	104586
376	63193	104427
377	63366	104270
378	63529	104094
379	63690	103916
380	63855	103744
381	64037	103599
382	64203	103430
383	64371	103262
384	64529	103080
385	64708	102930
386	64884	102775
387	65048	102602
388	65210	102425
389	65328	102180
390	65499	102018
391	65670	101856
392	65846	101702
393	66002	101516
394	66166	101344
395	66353	101206
396	66522	101040
397	66695	100881
398	66849	100693
399	67041	100561
400	67213	100400
401	67387	100243
402	67561	100085
403	67732	99922
404	67927	99794
405	68117	99659
406	68298	99511
407	68470	99348
408	68655	99205
409	68850	99078
410	69028	98923
411	69191	98749
412	69372	98599
413	69579	98486
414	69749	98321
415	69934	98176
416	70098	98002
417	70258	97824
418	70377	97587
419	70542	97415
420	70716	97255
421	70899	97109
422	71081	96959
423	71255	96799
424	71418	96625
425	71607	96484
426	71769	96308
427	71929	96130
428	72096	95961
429	72277	95809
430	72452	95650
431	72644	95513
432	72746	95259
433	72924	95104
434	73090	94933
435	73249	94754
436	73416	94584
437	73616	94457
438	73791	94298
439	73947	94115
440	74128	93963
441	74302	93803
442	74478	93644
443	74657	93490
444	74856	93360
445	75034	93204
446	75214	93050
447	75372	92869
448	75545	92706
449	75711	92536
450	75898	92390
451	76073	92230
452	76243	92064
453	76421	91908
454	76611	91765
455	76791	91610
456	76980	91466
457	77162	91314
458	77332	91147
459	77493	90971
460	77691	90837
461	77822	90624
462	78013	90482
463	78178	90309
464	78376	90175
465	78543	90004
466	78718	89844
467	78888	89676
468	79053	89504
469	79191	89301
470	79366	89139
471	79533	88969
472	79702	88801
473	79826	88583
474	79977	88395
475	80142	88224
476	80321	88067
477	80504	87915
478	80638	87708
479	80789	87521
480	80954	87350
481	81165	87227
482	81334	87060
483	81496	86885
484	81675	86727
485	81849	86564
486	82008	86386
487	82195	86237
488	82304	86007
489	82477	85844
490	82657	85687
491	82837	85531
492	83008	85365
493	83172	85192
494	83301	84983
495	83473	84819
496	83647	84657
497	83780	84453
498	83939	84275
499	84121	84121
500	84288	83951
501	84403	83730
502	84511	83503
503	84691	83347
504	84854	83174
505	85042	83025
506	85214	82861
507	85376	82687
508	85536	82511
509	85707	82345
510	85864	82167
511	86041	82008
512	86203	81834
513	86362	81657
514	86521	81481
515	86686	81310
516	86853	81141
517	87009	80962
518	87169	80787
519	87331	80613
520	87493	80440
521	87648	80260
522	87801	80078
523	87969	79911
524	88126	79733
525	88289	79560
526	88448	79385
527	88599	79202
528	88755	79023
529	88914	78848
530	89070	78670
531	89246	78510
532	89411	78340
533	89559	78154
534	89717	77978
535	89886	77812
536	90047	77638
537	90211	77467
538	90371	77293
539	90536	77123
540	90663	76921
541	90850	76770
542	91019	76604
543	91189	76438
544	91344	76260
545	91460	76049
546	91620	75875
547	91778	75700
548	91942	75529
549	92105	75358
550	92274	75193
551	92386	74980
552	92561	74819
553	92734	74656
554	92907	74493
555	93086	74335
556	93247	74162
557	93429	74006
558	93611	73851
559	93775	73680
560	93926	73500
561	94090	73330
562	94245	73153
563	94348	72935
564	94542	72789
565	94726	72634
566	94908	72478
567	95093	72324
568	95268	72163
569	95449	72005
570	95640	71856
571	95832	71707
572	96032	71563
573	96214	71406
574	96392	71246
575	96533	71059
576	96724	70909
577	96903	70749
578	97018	70543
579	97182	70373
580	97355	70209
581	97536	70051
582	97709	69888
583	97853	69703
584	98032	69544
585	98239	69404
586	98464	69277
587	98646	69119
588	98819	68955
589	98983	68785
590	99155	68620
591	99324	68453
592	99497	68289
593	99678	68130
594	99840	67958
595	100000	67785
596	100177	67623
597	100347	67457
598	100522	67294
599	100685	67123
600	100857	66958
601	101037	66799
602	101200	66627
603	101365	66458
604	101524	66284
605	101684	66111
606	101847	65940
607	102026	65780
608	102197	65614
609	102368	65448
610	102519	65270
611	102696	65108
612	102873	64946
613	103044	64780
614	103225	64620
615	103402	64458
616	103568	64289
617	103756	64134
618	103918	63963
619	104086	63794
620	104252	63625
621	104431	63464
622	104601	63298
623	104765	63128
624	104934	62960
625	105100	62791
626	105266	62622
627	105445	62461
628	105604	62288
629	105781	62125
630	105899	61928
631	106075	61765
632	106238	61594
633	106424	61437
634	106608	61278
635	106811	61131
636	107013	60982
637	107155	60800
638	107317	60628
639	107490	60463
640	107651	60291
641	107795	60110
642	107962	59941
643	108127	59772
644	108290	59601
645	108454	59431
646	108609	59256
647	108799	59100
648	108962	58930
649	109123	58759
650	109288	58589
651	109471	58429
652	109637	58260
653	109804	58092
654	109964	57920
655	110144	57758
656	110306	57587
657	110465	57415
658	110646	57254
659	110825	57092
660	110980	56917
661	111161	56756
662	111328	56587
663	111489	56416
664	111651	56245
665	111826	56081
666	112005	55918
667	112181	55754
668	112345	55585
669	112464	55393
670	112630	55224
671	112801	55057
672	112960	54885
673	113116	54712
674	113283	54543
675	113445	54373
676	113606	54202
677	113782	54038
678	113945	53868
679	114106	53697
680	114284	53534
681	114419	53350
682	114599	53188
683	114760	53017
684	114919	52846
685	115082	52676
686	115248	52507
687	115437	52349
688	115603	52180
689	115765	52010
690	115927	51840
691	116123	51684
692	116284	51514
